delta_mass_r2	counts	scans	cluster	precmz	name	delta_mass	delta_MF_final	delta_MF_unique_combination	mass_defect	scaled_counts
158.08	16	15016	16142	320.18936	"Candidate Carnitine (delta mass 158.0769; sirius atomic difference: 8C, 14H, 1O, 1S; buddy atomic difference: 8C, 14H, 1O, 1S; literature atomic difference: 11C, 10H, 1O)"	158.0769	C8H14OS	CHOS	0.000249852	22.097291
161.08	12	15061	16194	323.19638	"Candidate Carnitine (delta mass 161.0839; sirius atomic difference: 10C, 11H, 1N, 1O; buddy atomic difference: 10C, 11H, 1N, 1O; literature atomic difference: 10C, 11H, 1N, 1O)"	161.0839	C10H11NO	CHNO	0.000247528	21.5380134
162.08	176	15084	16219	324.18924	"Candidate Carnitine (delta mass 162.0767; sirius atomic difference: 9C, 10H, 2N, 1O; literature atomic difference: 9C, 10H, 2N, 1O)"	162.0767	C9H10N2O	CHNO	0.000246769	44.46839499
164.05	2	15159	16304	326.16278	"Candidate Carnitine (delta mass 164.0503; sirius atomic difference: 9C, 9H, 1Cl, 2N, -1O; literature atomic difference: 9C, 8H, 3O)"	164.0503	C9H9ClN2O-1	CHClNO	0.000153298	20.1398194
165.04	171	15255	16405	327.14999	"Candidate Carnitine (delta mass 165.0375; sirius atomic difference: 8C, 7H, 1N, 3O; literature atomic difference: 8C, 7H, 1N, 3O)"	165.0375	C8H7NO3	CHNO	0.000122268	43.76929799
165.05	7	15268	16418	327.16	"Candidate Carnitine (delta mass 165.0475; sirius atomic difference: 8C, 7H, 1N, 3O; literature atomic difference: 8C, 7H, 1N, 3O)"	165.0475	C8H7NO3	CHNO	0.00015283	20.8389164
167.06	164	15565	16724	329.16998	"Candidate Carnitine (delta mass 167.0575; sirius atomic difference: 8C, 9H, 1N, 3O; literature atomic difference: 8C, 9H, 1N, 3O)"	167.0575	C8H9NO3	CHNO	0.000182277	42.79056219
167.09	15	15584	16743	329.20325	"Candidate Carnitine (delta mass 167.0907; sirius atomic difference: 9C, 13H, 1N, 2O; literature atomic difference: 9C, 13H, 1N, 2O)"	167.0907	C9H13NO2	CHNO	0.000273387	21.9574716
167.1	157	15589	16748	329.21185	"Candidate Carnitine (delta mass 167.0994; literature atomic difference: 9C, 13H, 1N, 2O)"	167.0994	C9H13NO2	CHNO	0.000303756	41.81182639
169.11	11	15995	17174	331.22485	"Candidate Carnitine (delta mass 169.1124; literature atomic difference: 9C, 15H, 1N, 2O)"	169.1124	C9H15NO2	CHNO	0.000332101	21.398194
169.12	466	15998	17177	331.22751	"Candidate Carnitine (delta mass 169.115; literature atomic difference: 9C, 15H, 1N, 2O)"	169.115	C9H15NO2	CHNO	0.000362289	85.01602097
170.09	25	16072	17252	332.20691	"Candidate Carnitine (delta mass 170.0944; sirius atomic difference: 10C, 10H, 4N, -1O; literature atomic difference: 9C, 14H, 3O)"	170.0944	C10H10N4O-1	CHNO	0.000270915	23.3556656
170.13	3	16113	17294	332.24036	"Candidate Carnitine (delta mass 170.1279; sirius atomic difference: 9C, 15H, 1F, 2N; literature atomic difference: 10C, 18H, 2O)"	170.1279	C9H15FN2	CHFN	0.000391283	20.2796388
171.07	4	16256	17444	333.17978	"Candidate Carnitine (delta mass 171.0673; sirius atomic difference: 11C, 9H, 1N, 1O; buddy atomic difference: 11C, 9H, 1N, 1O; literature atomic difference: 11C, 9H, 1N, 1O)"	171.0673	C11H9NO	CHNO	0.000210097	20.4194582
172.07	12	16300	17489	334.18616	"Candidate Carnitine (delta mass 172.0737; sirius atomic difference: 10C, 8H, 2N, 1O; literature atomic difference: 8C, 12H, 4O)"	172.0737	C10H8N2O	CHNO	0.000209464	21.5380134
173.05	101	16347	17539	335.16037	"Candidate Carnitine (delta mass 173.0479; sirius atomic difference: 10C, 7H, 1N, 2O; buddy atomic difference: 10C, 7H, 1N, 2O; literature atomic difference: 10C, 7H, 1N, 2O)"	173.0479	C10H7NO2	CHNO	0.000149182	33.98193999
174.03	6	16372	17569	336.14609	"Candidate Carnitine (delta mass 174.0336; sirius atomic difference: 9C, 6H, 2N, 2O; literature atomic difference: 10C, 6H, 3O)"	174.0336	C9H6N2O2	CHNO	8.92E-05	20.699097
174.04	6	16373	17570	336.14999	"Candidate Carnitine (delta mass 174.0375; sirius atomic difference: 7C, 10H, 3O, 1S; literature atomic difference: 10C, 6H, 3O)"	174.0375	C7H10O3S	CHOS	0.000118995	20.699097
174.05	6	16375	17572	336.16	"Candidate Carnitine (delta mass 174.0475; sirius atomic difference: 8C, 11H, 1Cl, 2O; buddy atomic difference: 14C, 6H; literature atomic difference: 8C, 1Cl, 11H, 2O)"	174.0475	C8H11ClO2	CHClO	0.000148739	20.699097
175.06	1272	16434	17637	337.17166	"Candidate Carnitine (delta mass 175.0592; literature atomic difference: 10C, 9H, 1N, 2O)"	175.0592	C10H9NO2	CHNO	0.000177951	197.7104573
175.07	6	16447	17650	337.17999	"Candidate Carnitine (delta mass 175.0675; sirius atomic difference: 10C, 9H, 1N, 2O; literature atomic difference: 10C, 9H, 1N, 2O)"	175.0675	C10H9NO2	CHNO	0.000207604	20.699097
176.05	2	16467	17677	338.16202	"Candidate Carnitine (delta mass 176.0495; sirius atomic difference: 7C, 12H, 3O, 1S; literature atomic difference: 10C, 8H, 3O)"	176.0495	C7H12O3S	CHOS	0.000147858	20.1398194
176.08	2	16474	17684	338.19507	"Candidate Carnitine (delta mass 176.0826; sirius atomic difference: 8C, 15H, 1Cl, 1N, 1O; literature atomic difference: 11C, 12H, 2O)"	176.0826	C8H15ClNO	CHClNO	0.00023655	20.1398194
177.08	120	16557	17777	339.19147	"Candidate Carnitine (delta mass 177.079; sirius atomic difference: 10C, 11H, 1N, 2O; buddy atomic difference: 10C, 11H, 1N, 2O; literature atomic difference: 10C, 11H, 1N, 2O)"	177.079	C10H11NO2	CHNO	0.000235855	36.63850859
179.06	637	16715	17949	341.17035	"Candidate Carnitine (delta mass 179.0578; sirius atomic difference: 9C, 9H, 1N, 3O; buddy atomic difference: 9C, 9H, 1N, 3O; literature atomic difference: 9C, 9H, 1N, 3O)"	179.0578	C9H9NO3	CHNO	0.000175865	108.9251384
179.09	114	16730	17964	341.20734	"Candidate Carnitine (delta mass 179.0948; sirius atomic difference: 10C, 13H, 1N, 2O; buddy atomic difference: 10C, 13H, 1N, 2O; literature atomic difference: 10C, 13H, 1N, 2O)"	179.0948	C10H13NO2	CHNO	0.000263769	35.79959219
