formula_reported	exact_mass_reported	delta_mass_r2_reported	source_reported	mass_defect_reported
C19H38NO5	360.275	198.15	hmdb, lipidmaps, pubchem, stein, zhang, emily	0.0004163486225799
C19H38NO5	360.275	198.17	hmdb, lipidmaps, pubchem, stein, zhang, emily	0.0004718617722572
C15H31N5O5	361.23252	199.11	pubchem	0.0003045130045324
C15H31N5O5	361.23252	199.13	pubchem	0.0003598790053564
C16H28NO8	362.18149	200.06	stein, zhang	0.0001656628007135
C16H28NO8	362.18149	200.08	stein, zhang	0.0002208837342847
C17H32NO7	362.21788	200.1	stein, zhang	0.0002760769291675
C17H32NO7	362.21788	200.11	stein, zhang	0.0003036846220844
C18H36NO4S	362.2365	200.12	stein, zhang	0.0003312752856214
C18H36NO4S	362.2365	200.13	stein, zhang	0.0003588815594231
C18H36NO6	362.25426	200.15	zhang	0.0004140738055088
C19H26NO6	364.17601	202.06	stein, zhang	0.0001647554983097
C19H26NO6	364.17601	202.07	stein, zhang	0.000192214748028
C21H34NO4	364.24878	202.13	zhang	0.0003568989304507
C21H34NO4	364.24878	202.14	zhang	0.0003843526943315
C15H29N2O6S	365.17463	203.05	stein, zhang	0.0001369207932106
C15H29N2O6S	365.17463	203.07	stein, zhang	0.0001916891104948
C19H28NO6	366.19166	204.07	zhang	0.0001911567292384
C17H33ClNO5	366.20473	204.08	stein, zhang	0.0002184570363141
C19H28NO6	366.19166	204.09	zhang	0.0002457729375923
C17H33ClNO5	366.20473	204.1	stein, zhang	0.0002730712953925
C20H32NO5	366.22805	204.11	zhang	0.0003003592979839
C20H32NO5	366.22805	204.12	zhang	0.0003276646887096
C21H36NO4	366.26443	204.14	stein, zhang	0.0003822374998303
C21H36NO4	366.26443	204.16	stein, zhang	0.0004368428569489
C19H30NO6	368.20731	206.09	stein, zhang	0.0002444275210071
C19H30NO6	368.20731	206.1	stein, zhang	0.0002715861344523
C21H38NO4	368.28008	206.16	chebi, hmdb, lipidmaps, pubchem, stein, zhang	0.0004344519529809
C21H38NO4	368.28008	206.17	chebi, hmdb, lipidmaps, pubchem, stein, zhang	0.0004616052000422
C19H32NO6	370.22296	208.1	stein, zhang	0.0002701075049478
C19H32NO6	370.22296	208.12	stein, zhang	0.0003241290059374
C20H36NO5	370.25935	208.14	stein, zhang	0.0003781133413646
C20H36NO5	370.25935	208.15	stein, zhang	0.0004051214371764
C21H40NO4	370.29573	208.18	chebi, hmdb, lipidmaps, pubchem, stein, zhang, emily	0.0004860979628363
C21H40NO4	370.29573	208.19	chebi, hmdb, lipidmaps, pubchem, stein, zhang, emily	0.0005131034052161
C19H34NO6	372.23861	210.12	stein, zhang	0.0003223738665905
C19H34NO6	372.23861	210.13	stein, zhang	0.0003492383554731
C20H38NO5	372.275	210.15	stein, zhang	0.0004029279430528
C20H38NO5	372.275	210.17	stein, zhang	0.0004566516687931
C21H42NO4	372.31138	210.19	hmdb, lipidmaps, pubchem, zhang, emily	0.0005103255237591
C21H42NO4	372.31138	210.21	hmdb, lipidmaps, pubchem, zhang, emily	0.0005640439999443
C18H32NO7	374.21788	212.1	zhang	0.0002672240032998
C18H32NO7	374.21788	212.11	zhang	0.0002939464036299
C19H36NO6	374.25426	212.13	chebi, hmdb, lipidmaps, pubchem, stein, zhang, emily	0.0003473574355573
C19H36NO6	374.25426	212.15	chebi, hmdb, lipidmaps, pubchem, stein, zhang, emily	0.0004007970410276
C20H40NO5	374.29065	212.17	pubchem, zhang, emily	0.0004541924838357
C20H40NO5	374.29065	212.19	pubchem, zhang, emily	0.0005076268936987
C15H22NO8S	376.10661	213.99	stein, zhang	-2.6588205934458065e-05
C15H22NO8S	376.10661	214.0	stein, zhang	0.0
C17H30NO8	376.19714	214.08	stein, zhang	0.0002126544609031
C17H30NO8	376.19714	214.09	stein, zhang	0.000239236268516
C18H34NO7	376.23353	214.11	stein, zhang	0.0002923716022865
C18H34NO7	376.23353	214.13	stein, zhang	0.0003455300754294
C22H34NO4	376.24878	214.14	zhang	0.0003720942297805
C19H38NO6	376.26991	214.15	stein, zhang	0.0003986500010059
C19H38NO6	376.26991	214.16	stein, zhang	0.0004252266677396
C22H36NO4	378.26443	216.14	zhang	0.0003701114588014
C22H36NO4	378.26443	216.16	zhang	0.0004229845243445
C16H31N2O6S	379.19028	217.07	stein, zhang	0.0001846038880532
C16H31N2O6S	379.19028	217.08	stein, zhang	0.0002109758720608
C20H30NO6	380.20731	218.09	stein, zhang	0.0002367129658817
