precmz_massql	delta_mass_r2_massql	mass_defect_massql
244.65761	82.55	-0.0018393051415813424
245.07001	82.96	-0.00016321866555604357
245.07858	82.97	-0.00012240971854823518
245.09012	82.98	-8.160263661381381e-05
245.09758	82.99	-4.08000764430441e-05
245.11102	83.0	0.0
245.12753	83.02	8.1590182873364e-05
245.13823	83.03	0.00012237993233450833
245.14754	83.04	0.00016316704626122806
245.15759	83.05	0.00020395044673100744
245.18773	83.08	0.00032628060139876615
245.19867	83.09	0.00036704929924784427
245.22667	83.11	0.00044856458720415453
245.64218	83.53	-0.001913352177545399
245.65639	83.54	-0.0018725342336911887
246.00629	83.89	-0.00044714303849710275
246.00999	83.9	-0.00040648755768005326
246.0313	83.92	-0.00032516187980959456
246.05891	83.95	-0.00020320337109514612
246.07001	83.96	-0.00016255536381701391
246.08	83.97	-0.00012191157347204622
246.08763	83.98	-8.127186238493996e-05
246.09869	83.99	-4.063410496010814e-05
246.1091	84.0	0.0
246.12	84.01	4.0630586705692813e-05
246.13394	84.02	8.125657111731938e-05
246.14	84.03	0.00012188185585439643
246.14764	84.04	0.00016250409713457442
246.16145	84.05	0.00020311872553560747
246.1691	84.06	0.00024373489605316944
246.17999	84.07	0.00028434479991648864
246.18898	84.08	0.00032495361896376637
246.20488	84.09	0.0003655492125095303
246.21001	84.1	0.0004061573288591894
246.24477	84.13	0.0005279299942085895
246.27	84.16	0.0006496934259146327
246.47836	84.37	0.0015011459829577108
246.6627	84.55	-0.0018243536619034935
247.01144	84.9	-0.0004048395491317905
247.02045	84.91	-0.0003643423044529447
247.03755	84.93	-0.00028335773245805415
247.04886	84.94	-0.00024286693733378196
247.06889	84.96	-0.00016189816532549383
247.07866	84.97	-0.00012141882265348668
247.09	84.98	-8.094216682178971e-05
247.1066	84.99	-4.046836466531091e-05
247.10788	85.0	0.0
247.11885	85.01	4.046635859629937e-05
247.12866	85.02	8.092950449371603e-05
247.14407	85.03	0.00012138668753007563
247.16676	85.05	0.0002022925736454091
247.17323	85.06	0.0002427447341283774
247.65201	85.54	-0.0018574450496080923
247.97963	85.87	-0.0005242366076600544
248.03117	85.92	-0.00032254010655192365
248.0766	85.96	-0.0001612405200651986
248.08957	85.98	-8.061604524525565e-05
248.10001	85.99	-4.0306326468931285e-05
248.11	86.0	0.0
248.13155	86.02	8.060240626391937e-05
248.14255	86.03	0.00012089824981649111
248.14922	86.04	0.00016119333359180518
248.16792	86.06	0.00024177178097798568
248.16135	86.05	0.00020148181817997507
248.17999	86.07	0.00028205335974102174
248.19	86.08	0.00032233369595873444
249.03691	86.92	-0.00032123752258248904
249.03802	86.93	-0.00028108157943109726
249.05183	86.94	-0.0002409137086043587
249.06	86.95	-0.000200754838191589
249.07628	86.96	-0.00016059337324295293
249.0787	86.97	-0.00012044385971181453
249.11	87.0	0.0
249.12	87.01	4.014129736675143e-05
249.14999	87.04	0.00016054586235386264
249.17763	87.07	0.00028092409418932664
250.09373	87.98	-7.997001764097013e-05
250.11115	88.0	0.0
250.14459	88.03	0.00011993063691683733
250.15663	88.04	0.0001598998195650711
250.65556	88.54	-0.0018351876974123124
251.12587	89.01	3.982066841622138e-05
251.12901	89.02	7.964034103425973e-05
251.18546	89.07	0.00027867855090017225
251.19913	89.09	0.00035828149564054386
252.14233	90.03	0.00011898041871827368
252.15898	90.05	0.00019828760411386956
252.66277	90.55	-0.001781030105860087
253.03	90.92	-0.0003161680433150152
253.14	91.03	0.00011851149561507916
253.15117	91.04	0.00015800835524483752
253.17955	91.07	0.00027648362594843534
253.64255	91.53	-0.0018530013990160517
254.13828	92.03	0.00011804597087853563
254.15862	92.05	0.00019672753967580229
255.09801	92.99	-3.920061940116709e-05
255.12233	93.01	3.91968825308436e-05
255.13408	93.02	7.839015469825129e-05
255.15958	93.05	0.00019595580146352786
255.20091	93.09	0.0003526633192648232
256.07938	93.97	-0.00011715117398363404
256.11777	94.01	3.904453798736853e-05
256.117	94.0	0.0
256.12866	94.02	7.808575580724164e-05
256.14999	94.04	0.00015615850697478558
256.14001	94.03	0.00011712344354168306
256.1734	94.06	0.00023421635501579113
256.19	94.08	0.0003122682384167934
256.63696	94.52	-0.0018703463445016025
