scan	delta_mass_r2	repository
532	41.97	GNPS/MassIVE
533	41.97	GNPS/MassIVE
534	41.97	GNPS/MassIVE
535	41.97	GNPS/MassIVE
536	41.97	GNPS/MassIVE
537	41.97	GNPS/MassIVE
538	41.97	GNPS/MassIVE
539	41.97	GNPS/MassIVE
540	41.97	GNPS/MassIVE
541	41.97	GNPS/MassIVE
542	41.97	GNPS/MassIVE
543	41.97	GNPS/MassIVE
544	41.97	GNPS/MassIVE
545	41.97	Metabolomics Workbench
546	41.97	GNPS/MassIVE
547	41.97	GNPS/MassIVE
548	41.97	GNPS/MassIVE
549	41.97	Metabolomics Workbench
550	41.97	GNPS/MassIVE
551	41.97	Metabolomics Workbench
552	41.97	Metabolomics Workbench
553	41.97	GNPS/MassIVE
554	41.97	GNPS/MassIVE
555	41.97	GNPS/MassIVE
556	41.98	GNPS/MassIVE
557	41.97	GNPS/MassIVE
558	41.97	GNPS/MassIVE
559	41.97	Metabolomics Workbench
560	41.97	GNPS/MassIVE
561	41.97	GNPS/MassIVE
562	41.98	GNPS/MassIVE
563	41.97	GNPS/MassIVE
564	41.97	GNPS/MassIVE
565	41.97	GNPS/MassIVE
566	41.97	GNPS/MassIVE
567	41.97	GNPS/MassIVE
568	41.97	GNPS/MassIVE
569	41.97	GNPS/MassIVE
570	41.97	GNPS/MassIVE
571	41.97	GNPS/MassIVE
572	41.97	GNPS/MassIVE
573	41.97	GNPS/MassIVE
574	41.97	GNPS/MassIVE
575	41.97	GNPS/MassIVE
576	41.97	GNPS/MassIVE
577	41.97	GNPS/MassIVE
578	41.97	GNPS/MassIVE
579	41.97	GNPS/MassIVE
580	41.97	GNPS/MassIVE
581	41.97	GNPS/MassIVE
582	41.97	GNPS/MassIVE
583	41.97	GNPS/MassIVE
584	41.97	GNPS/MassIVE
585	41.97	GNPS/MassIVE
586	41.97	GNPS/MassIVE
587	41.97	GNPS/MassIVE
588	41.97	GNPS/MassIVE
589	41.97	GNPS/MassIVE
590	41.97	GNPS/MassIVE
591	41.98	GNPS/MassIVE
592	41.97	GNPS/MassIVE
593	41.97	GNPS/MassIVE
594	41.97	GNPS/MassIVE
595	41.97	GNPS/MassIVE
596	41.97	GNPS/MassIVE
597	41.97	GNPS/MassIVE
598	41.98	GNPS/MassIVE
599	41.97	GNPS/MassIVE
600	41.97	GNPS/MassIVE
601	41.97	GNPS/MassIVE
602	41.97	GNPS/MassIVE
603	41.97	GNPS/MassIVE
604	41.97	GNPS/MassIVE
605	41.97	GNPS/MassIVE
