counts	precmz	delta_mass	delta_mass_r2	delta_MF_final	delta_MF_unique_combination
2	319.16522	157.05272	157.05	C10H7NO	CHNO
2	319.16534	157.05284	157.05	C10H7NO	CHNO
2	319.16534	157.05284	157.05	C10H7NO	CHNO
2	319.16531	157.05281	157.05	C10H7NO	CHNO
3	319.16553	157.05303	157.05	C10H7NO	CHNO
6	319.16541	157.05291	157.05	C10H7NO	CHNO
2	319.16547	157.05297	157.05	C10H7NO	CHNO
2	319.1655	157.053	157.05	C10H7NO	CHNO
2	319.16541	157.05291	157.05	C10H7NO	CHNO
2	319.16547	157.05297	157.05	C10H7NO	CHNO
2	319.1655	157.053	157.05	C10H7NO	CHNO
2	319.16547	157.05297	157.05	C10H7NO	CHNO
2	319.16547	157.05297	157.05	C10H7NO	CHNO
2	319.16565	157.05315	157.05	C10H7NO	CHNO
2	319.16553	157.05303	157.05	C10H7NO	CHNO
3	319.16559	157.05309	157.05	C10H7NO	CHNO
2	319.16565	157.05315	157.05	C10H7NO	CHNO
2	319.16568	157.05318	157.05	C10H7NO	CHNO
2	319.16608	157.05358	157.05	C10H7NO	CHNO
2	319.16608	157.05358	157.05	C10H7NO	CHNO
3	319.16647	157.05397	157.05	C10H7NO	CHNO
3	319.17001	157.05751	157.06	C10H7NO	CHNO
3	319.17001	157.05751	157.06	C10H7NO	CHNO
4	323.19638	161.08388	161.08	C10H11NO	CHNO
4	323.19638	161.08388	161.08	C10H11NO	CHNO
4	323.19684	161.08434	161.08	C10H11NO	CHNO
3	324.18924	162.07674	162.08	C9H10N2O	CHNO
169	324.19208	162.07958	162.08	C9H10N2O	CHNO
2	324.19153	162.07903	162.08	C9H10N2O	CHNO
2	324.19162	162.07912	162.08	C9H10N2O	CHNO
25	324.22021	162.10771	162.11	C5H14N4O2	CHNO
2	327.14999	165.03749	165.04	C8H7NO3	CHNO
8	327.15594	165.04344	165.04	C8H7NO3	CHNO
2	327.15485	165.04235	165.04	C8H7NO3	CHNO
12	327.14999	165.03749	165.04	C8H7NO3	CHNO
78	327.15549	165.04299	165.04	C8H7NO3	CHNO
2	327.15424	165.04174	165.04	C8H7NO3	CHNO
48	327.15509	165.04259	165.04	C8H7NO3	CHNO
4	327.15512	165.04262	165.04	C8H7NO3	CHNO
2	327.15506	165.04256	165.04	C8H7NO3	CHNO
2	327.15518	165.04268	165.04	C8H7NO3	CHNO
6	327.15512	165.04262	165.04	C8H7NO3	CHNO
3	327.15552	165.04302	165.04	C8H7NO3	CHNO
2	327.15546	165.04296	165.04	C8H7NO3	CHNO
3	327.16	165.0475	165.05	C8H7NO3	CHNO
2	327.16199	165.04949	165.05	C8H7NO3	CHNO
2	327.16211	165.04961	165.05	C8H7NO3	CHNO
100	329.16998	167.05748	167.06	C8H9NO3	CHNO
12	329.16965	167.05715	167.06	C8H9NO3	CHNO
3	329.17102	167.05852	167.06	C8H9NO3	CHNO
2	329.17001	167.05751	167.06	C8H9NO3	CHNO
2	329.1701	167.0576	167.06	C8H9NO3	CHNO
2	329.17035	167.05785	167.06	C8H9NO3	CHNO
2	329.17117	167.05867	167.06	C8H9NO3	CHNO
2	329.17212	167.05962	167.06	C8H9NO3	CHNO
45	329.17398	167.06148	167.06	C8H9NO3	CHNO
2	329.17371	167.06121	167.06	C8H9NO3	CHNO
2	329.17456	167.06206	167.06	C8H9NO3	CHNO
2	329.17493	167.06243	167.06	C8H9NO3	CHNO
7	329.20325	167.09075	167.09	C9H13NO2	CHNO
2	329.20688	167.09438	167.09	C9H13NO2	CHNO
2	329.20694	167.09444	167.09	C9H13NO2	CHNO
2	329.20718	167.09468	167.09	C9H13NO2	CHNO
2	329.20709	167.09459	167.09	C9H13NO2	CHNO
140	329.21185	167.09935	167.1	C9H13NO2	CHNO
2	329.21127	167.09877	167.1	C9H13NO2	CHNO
2	329.21091	167.09841	167.1	C9H13NO2	CHNO
3	329.20999	167.09749	167.1	C9H13NO2	CHNO
6	329.21088	167.09838	167.1	C9H13NO2	CHNO
2	329.21085	167.09835	167.1	C9H13NO2	CHNO
2	329.21091	167.09841	167.1	C9H13NO2	CHNO
2	329.21194	167.09944	167.1	C9H13NO2	CHNO
2	331.22485	169.11235	169.11	C9H15NO2	CHNO
2	331.22522	169.11272	169.11	C9H15NO2	CHNO
462	331.22751	169.11501	169.12	C9H15NO2	CHNO
2	331.22647	169.11397	169.11	C9H15NO2	CHNO
3	331.22641	169.11391	169.11	C9H15NO2	CHNO
2	331.22708	169.11458	169.11	C9H15NO2	CHNO
2	331.22757	169.11507	169.12	C9H15NO2	CHNO
2	331.228	169.1155	169.12	C9H15NO2	CHNO
14	333.17633	171.06383	171.06	C11H9NO	CHNO
4	333.17978	171.06728	171.07	C11H9NO	CHNO
2	334.22214	172.10964	172.11	C11H12N2	CHN
478	335.15961	173.04711	173.05	C10H7NO2	CHNO
73	335.16037	173.04787	173.05	C10H7NO2	CHNO
18	335.15994	173.04744	173.05	C10H7NO2	CHNO
8	335.16037	173.04787	173.05	C10H7NO2	CHNO
2	335.16089	173.04839	173.05	C10H7NO2	CHNO
94	336.15689	174.04439	174.04	C8H11ClO2	CHClO
6	336.16	174.0475	174.05	C8H11ClO2	CHClO
3	336.15808	174.04558	174.05	C8H11ClO2	CHClO
20	336.19644	174.08394	174.08	C10H10N2O	CHNO
15	337.17166	175.05916	175.06	C10H9NO2	CHNO
810	337.17581	175.06331	175.06	C10H9NO2	CHNO
9	337.17603	175.06353	175.06	C10H9NO2	CHNO
227	337.17554	175.06304	175.06	C10H9NO2	CHNO
2	337.17535	175.06285	175.06	C10H9NO2	CHNO
2	337.17551	175.06301	175.06	C10H9NO2	CHNO
2	337.17554	175.06304	175.06	C10H9NO2	CHNO
52	337.17578	175.06328	175.06	C10H9NO2	CHNO
117	337.17615	175.06365	175.06	C10H9NO2	CHNO
26	337.17584	175.06334	175.06	C10H9NO2	CHNO
3	337.17596	175.06346	175.06	C10H9NO2	CHNO
2	337.17609	175.06359	175.06	C10H9NO2	CHNO
5	337.17612	175.06362	175.06	C10H9NO2	CHNO
3	337.17999	175.06749	175.07	C10H9NO2	CHNO
3	337.17999	175.06749	175.07	C10H9NO2	CHNO
4	338.181	176.0685	176.07	C9H8N2O2	CHNO
106	339.19147	177.07897	177.08	C10H11NO2	CHNO
2	339.19043	177.07793	177.08	C10H11NO2	CHNO
2	339.19131	177.07881	177.08	C10H11NO2	CHNO
4	339.19165	177.07915	177.08	C10H11NO2	CHNO
6	339.19189	177.07939	177.08	C10H11NO2	CHNO
633	341.17035	179.05785	179.06	C9H9NO3	CHNO
2	341.16992	179.05742	179.06	C9H9NO3	CHNO
2	341.17212	179.05962	179.06	C9H9NO3	CHNO
2	341.1702	179.0577	179.06	C9H9NO3	CHNO
3	341.17612	179.06362	179.06	C9H9NO3	CHNO
100	341.20734	179.09484	179.09	C10H13NO2	CHNO
6	341.2077	179.0952	179.1	C10H13NO2	CHNO
2	341.20703	179.09453	179.09	C10H13NO2	CHNO
10	341.20706	179.09456	179.09	C10H13NO2	CHNO
2	341.20715	179.09465	179.09	C10H13NO2	CHNO
7	341.2113	179.0988	179.1	C10H13NO2	CHNO
3	341.21054	179.09804	179.1	C10H13NO2	CHNO
880	342.17346	180.06096	180.06	C10H12OS	CHOS
13	342.17303	180.06053	180.06	C10H12OS	CHOS
5	342.17264	180.06014	180.06	C10H12OS	CHOS
4	342.17282	180.06032	180.06	C10H12OS	CHOS
2	342.17337	180.06087	180.06	C10H12OS	CHOS
4	342.17343	180.06093	180.06	C10H12OS	CHOS
3	342.17999	180.06749	180.07	C10H12OS	CHOS
2	342.23788	180.12538	180.13	C10H16N2O	CHNO
3	342.23816	180.12566	180.13	C10H16N2O	CHNO
5	342.24265	180.13015	180.13	C10H16N2O	CHNO
48	342.24292	180.13042	180.13	C10H16N2O	CHNO
2	342.24301	180.13051	180.13	C10H16N2O	CHNO
482	343.22281	181.11031	181.11	C10H15NO2	CHNO
128	343.23001	181.11751	181.12	C10H15NO2	CHNO
3	343.2225	181.11	181.11	C10H15NO2	CHNO
19	343.22302	181.11052	181.11	C10H15NO2	CHNO
2	343.22253	181.11003	181.11	C10H15NO2	CHNO
12	343.22275	181.11025	181.11	C10H15NO2	CHNO
4	343.2233	181.1108	181.11	C10H15NO2	CHNO
46	343.22293	181.11043	181.11	C10H15NO2	CHNO
2	343.22284	181.11034	181.11	C10H15NO2	CHNO
3	343.2229	181.1104	181.11	C10H15NO2	CHNO
2	343.22299	181.11049	181.11	C10H15NO2	CHNO
2	343.22296	181.11046	181.11	C10H15NO2	CHNO
