ATTRIBUTE_antibiotics_YN	filename	MS_1697	MS_15121	MS_18116	MS_1976	MS_19774	MS_23767	MS_22584	MS_21720	MS_24112	MS_25227	MS_19201	MS_25922	MS_24345	MS_27100	MS_25642	MS_26845	MS_20303	MS_21761	MS_23950	MS_25113	MS_20431	MS_21769
No	SS193_RA7_01_7535	16.73225	0.0	0.0	14.106207	49.727264	349.00156	24.6196	0.0	298.00006	2490.1045	8.741786	308.3006	331.8037	0.0	2150.816	2611.708	53.06006	47.041756	51.226532	68.92206	7.345929	5.343487
No	SS212_RC2_01_7556	37.993744	0.0	12.832079	12.068719	0.0	215.10315	0.0	0.0	0.0	1440.2794	0.0	72.60883	307.1239	1395.9541	1157.6283	1679.6841	11.113126	3.5029216	31.407412	26.584515	3.6102076	8.980396
No	SS168_RG3_01_7501	0.0	0.0	69.549065	58.180862	0.0	440.82132	45.845314	13.186942	490.4383	5192.2	3.3533916	323.09082	1023.347	4174.135	5462.956	3787.0388	8.043701	20.411701	126.49054	200.72343	5.769375	7.01191
No	SS194_RA8_01_7536	147.36111	0.0	0.0	58.392372	0.0	87.93289	0.0	0.0	0.0	515.79706	0.0	13.513393	59.524055	196.12054	272.943	704.64386	0.0	0.0	98.09928	207.50325	0.0	0.0
No	SS173_RG8_01_7506	37.84751	0.0	148.09381	40.70752	0.0	1098.4698	290.72104	2.5456858	1765.084	5990.707	57.708878	228.56035	2482.0005	3266.6267	8242.151	4450.91	603.8863	267.00266	213.71225	191.05582	3.9512453	6.558032
No	SS205_RB7_01_7548	39.85515	0.0	0.0	92.403824	0.0	191.27481	0.0	13.7395735	127.317444	1950.1582	2.5632095	107.34752	307.65286	1837.4133	1608.3564	1977.1522	0.0	2.6144874	66.898506	64.49549	9.412226	2.8156018
No	SS177_RG12_01_7510	498.03046	0.0	58.602592	46.86958	27.88279	900.6272	72.60887	0.0	734.1429	6823.617	6.255684	434.9388	1178.5967	4026.8293	5743.127	5751.256	35.17251	56.92609	222.70958	386.4301	7.0605583	5.29739
No	SS202_RB4_01_7545	8.496731	0.0	23.941082	0.0	0.0	222.45718	40.896008	0.0	281.3211	1203.909	15.323307	231.11357	299.3347	599.6994	2050.5718	1348.1453	29.490273	31.245178	63.24837	89.501495	3.9001403	3.5700917
No	SS190_RA4_01_7532	85.38155	0.0	21.730272	6.89149	0.0	950.3784	48.49146	0.0	831.36444	6099.817	12.381625	486.97678	610.9624	1582.3915	6343.443	3796.674	48.745476	42.676296	148.73465	235.78319	3.1121864	6.5879145
No	SS176_RG11_01_7509	1073.029	0.0	30.079037	63.24643	29.174845	888.0066	0.0	0.0	813.56604	6227.529	24.5028	428.0459	768.03766	2454.0962	4897.4844	4336.925	78.26159	57.35917	182.37976	221.63673	2.6196213	2.717507
