origin_repository	precmz	count
GNPS/MassIVE	204.1045	8
GNPS/MassIVE	204.1046	14
GNPS/MassIVE	204.1047	12
GNPS/MassIVE	204.1048	12
GNPS/MassIVE	204.1051	2
GNPS/MassIVE	204.1056	1
GNPS/MassIVE	204.1057	3
GNPS/MassIVE	204.1058	3
GNPS/MassIVE	204.1059	6
GNPS/MassIVE	204.106	21
GNPS/MassIVE	204.1061	18
GNPS/MassIVE	204.1062	17
GNPS/MassIVE	204.1063	17
GNPS/MassIVE	204.1064	8
GNPS/MassIVE	204.1065	6
GNPS/MassIVE	204.11	6
GNPS/MassIVE	204.1131	1
GNPS/MassIVE	204.1136	1
GNPS/MassIVE	204.1141	2
GNPS/MassIVE	204.1142	2
GNPS/MassIVE	204.1149	1
GNPS/MassIVE	204.12	428
GNPS/MassIVE	204.121	2
GNPS/MassIVE	204.1217	2
GNPS/MassIVE	204.1218	2
GNPS/MassIVE	204.1219	27
GNPS/MassIVE	204.122	41
GNPS/MassIVE	204.1221	376
GNPS/MassIVE	204.1222	873
GNPS/MassIVE	204.1223	1119
GNPS/MassIVE	204.1224	1144
GNPS/MassIVE	204.1225	746
GNPS/MassIVE	204.1226	593
GNPS/MassIVE	204.1227	1050
GNPS/MassIVE	204.1228	2601
GNPS/MassIVE	204.1229	4883
GNPS/MassIVE	204.123	7951
GNPS/MassIVE	204.1231	10312
GNPS/MassIVE	204.1232	9496
GNPS/MassIVE	204.1233	5178
GNPS/MassIVE	204.1234	2277
GNPS/MassIVE	204.1235	1386
GNPS/MassIVE	204.1236	713
GNPS/MassIVE	204.1237	197
GNPS/MassIVE	204.1238	73
GNPS/MassIVE	204.1239	59
GNPS/MassIVE	204.124	29
GNPS/MassIVE	204.1241	16
GNPS/MassIVE	204.1242	3
GNPS/MassIVE	204.1243	1
GNPS/MassIVE	204.1246	2
GNPS/MassIVE	204.13	125
GNPS/MassIVE	204.1312	1
GNPS/MassIVE	204.1322	2
GNPS/MassIVE	204.1323	2
GNPS/MassIVE	204.1324	4
GNPS/MassIVE	204.1329	2
GNPS/MassIVE	204.1333	1
GNPS/MassIVE	204.1334	2
GNPS/MassIVE	204.1335	2
GNPS/MassIVE	204.1336	9
GNPS/MassIVE	204.1337	4
GNPS/MassIVE	204.1338	3
GNPS/MassIVE	204.1339	8
GNPS/MassIVE	204.134	8
GNPS/MassIVE	204.1341	144
GNPS/MassIVE	204.1342	871
GNPS/MassIVE	204.1343	424
GNPS/MassIVE	204.1344	48
GNPS/MassIVE	204.1345	16
GNPS/MassIVE	204.1346	14
GNPS/MassIVE	204.1347	15
GNPS/MassIVE	204.1348	10
GNPS/MassIVE	204.1349	1
GNPS/MassIVE	204.138	4
GNPS/MassIVE	204.1382	2
GNPS/MassIVE	204.1384	2
GNPS/MassIVE	204.1399	1
GNPS/MassIVE	204.14	19
GNPS/MassIVE	204.1401	1
GNPS/MassIVE	204.1402	2
GNPS/MassIVE	204.1418	1
GNPS/MassIVE	204.1421	1
GNPS/MassIVE	204.1424	1
GNPS/MassIVE	204.1592	2
GNPS/MassIVE	204.1594	3
GNPS/MassIVE	204.1595	4
GNPS/MassIVE	204.1599	3
GNPS/MassIVE	204.2	117
GNPS/MassIVE	204.2151	1
GNPS/MassIVE	204.2153	1
GNPS/MassIVE	204.2155	1
GNPS/MassIVE	204.2165	3
GNPS/MassIVE	204.2169	1
GNPS/MassIVE	204.4915	1
GNPS/MassIVE	204.4916	2
GNPS/MassIVE	204.4919	2
GNPS/MassIVE	204.4922	1
GNPS/MassIVE	204.4924	1
GNPS/MassIVE	204.4925	1
GNPS/MassIVE	204.4927	1
GNPS/MassIVE	204.4928	2
GNPS/MassIVE	204.4931	3
GNPS/MassIVE	204.4943	1
GNPS/MassIVE	204.4944	1
GNPS/MassIVE	204.4965	1
GNPS/MassIVE	204.4973	1
GNPS/MassIVE	204.6139	2
GNPS/MassIVE	204.9566	2
GNPS/MassIVE	204.9567	8
GNPS/MassIVE	204.9568	14
GNPS/MassIVE	204.9569	10
GNPS/MassIVE	204.957	16
GNPS/MassIVE	204.9571	11
GNPS/MassIVE	204.9572	15
GNPS/MassIVE	204.9573	16
GNPS/MassIVE	204.9574	12
GNPS/MassIVE	204.9575	4
GNPS/MassIVE	204.9666	2
GNPS/MassIVE	204.9667	4
GNPS/MassIVE	204.9668	4
GNPS/MassIVE	204.9669	2
GNPS/MassIVE	204.9759	2
GNPS/MassIVE	204.9773	2
GNPS/MassIVE	204.9944	1
GNPS/MassIVE	204.9945	1
GNPS/MassIVE	205.001	8
GNPS/MassIVE	205.0011	6
GNPS/MassIVE	205.0012	12
GNPS/MassIVE	205.0013	4
GNPS/MassIVE	205.016	2
GNPS/MassIVE	205.0161	2
GNPS/MassIVE	205.0234	2
GNPS/MassIVE	205.0236	12
GNPS/MassIVE	205.0243	2
GNPS/MassIVE	205.0244	2
GNPS/MassIVE	205.0284	7
GNPS/MassIVE	205.0285	33
GNPS/MassIVE	205.0286	18
GNPS/MassIVE	205.0287	5
GNPS/MassIVE	205.0288	15
GNPS/MassIVE	205.0289	9
GNPS/MassIVE	205.0333	2
GNPS/MassIVE	205.0474	1
GNPS/MassIVE	205.0475	1
GNPS/MassIVE	205.0671	1
GNPS/MassIVE	205.0672	2
GNPS/MassIVE	205.0674	1
GNPS/MassIVE	205.0675	2
GNPS/MassIVE	205.0677	1
GNPS/MassIVE	205.0678	6
GNPS/MassIVE	205.0679	10
GNPS/MassIVE	205.068	12
GNPS/MassIVE	205.0681	25
GNPS/MassIVE	205.0682	75
GNPS/MassIVE	205.0683	59
GNPS/MassIVE	205.0684	16
GNPS/MassIVE	205.0685	15
GNPS/MassIVE	205.0686	24
GNPS/MassIVE	205.0687	23
GNPS/MassIVE	205.0688	18
GNPS/MassIVE	205.0689	24
GNPS/MassIVE	205.069	18
GNPS/MassIVE	205.0691	16
GNPS/MassIVE	205.0692	14
GNPS/MassIVE	205.0693	6
GNPS/MassIVE	205.0694	13
GNPS/MassIVE	205.0695	9
GNPS/MassIVE	205.0696	7
GNPS/MassIVE	205.0697	2
GNPS/MassIVE	205.0699	1
GNPS/MassIVE	205.0702	1
GNPS/MassIVE	205.0706	1
GNPS/MassIVE	205.0808	2
GNPS/MassIVE	205.0815	1
GNPS/MassIVE	205.0816	1
GNPS/MassIVE	205.0818	2
GNPS/MassIVE	205.082	1
GNPS/MassIVE	205.0822	6
GNPS/MassIVE	205.0823	14
GNPS/MassIVE	205.0824	1
GNPS/MassIVE	205.086	1
GNPS/MassIVE	205.0861	1
GNPS/MassIVE	205.0863	2
GNPS/MassIVE	205.0865	4
GNPS/MassIVE	205.0866	3
GNPS/MassIVE	205.0867	3
GNPS/MassIVE	205.0868	2
GNPS/MassIVE	205.0869	1
GNPS/MassIVE	205.0891	2
GNPS/MassIVE	205.0899	2
GNPS/MassIVE	205.0903	1
GNPS/MassIVE	205.0904	1
GNPS/MassIVE	205.0906	1
GNPS/MassIVE	205.0968	4
GNPS/MassIVE	205.0969	3
GNPS/MassIVE	205.097	2
GNPS/MassIVE	205.0971	12
GNPS/MassIVE	205.0972	13
GNPS/MassIVE	205.0973	14
GNPS/MassIVE	205.0974	8
GNPS/MassIVE	205.0975	5
GNPS/MassIVE	205.0978	2
GNPS/MassIVE	205.0981	2
GNPS/MassIVE	205.0997	1
GNPS/MassIVE	205.1001	1
GNPS/MassIVE	205.1002	1
GNPS/MassIVE	205.1003	3
GNPS/MassIVE	205.1004	5
GNPS/MassIVE	205.1005	3
GNPS/MassIVE	205.1006	1
GNPS/MassIVE	205.1008	2
GNPS/MassIVE	205.1169	1
GNPS/MassIVE	205.117	1
GNPS/MassIVE	205.1172	1
GNPS/MassIVE	205.118	4
GNPS/MassIVE	205.1181	1
GNPS/MassIVE	205.1182	4
GNPS/MassIVE	205.1183	1
GNPS/MassIVE	205.1184	1
GNPS/MassIVE	205.1185	9
GNPS/MassIVE	205.1186	4
GNPS/MassIVE	205.1187	3
GNPS/MassIVE	205.1188	3
GNPS/MassIVE	205.1189	6
GNPS/MassIVE	205.119	4
GNPS/MassIVE	205.1191	3
GNPS/MassIVE	205.1192	1
GNPS/MassIVE	205.1194	2
GNPS/MassIVE	205.1196	4
GNPS/MassIVE	205.1197	2
GNPS/MassIVE	205.1198	1
GNPS/MassIVE	205.12	11
GNPS/MassIVE	205.1202	10
GNPS/MassIVE	205.1203	2
GNPS/MassIVE	205.1204	25
GNPS/MassIVE	205.1205	5
GNPS/MassIVE	205.1206	3
GNPS/MassIVE	205.1207	1
GNPS/MassIVE	205.1208	2
GNPS/MassIVE	205.121	1
GNPS/MassIVE	205.1218	1
GNPS/MassIVE	205.1254	15
GNPS/MassIVE	205.1255	17
GNPS/MassIVE	205.1256	12
GNPS/MassIVE	205.1257	4
GNPS/MassIVE	205.1258	1
GNPS/MassIVE	205.1259	6
GNPS/MassIVE	205.126	15
GNPS/MassIVE	205.1261	36
GNPS/MassIVE	205.1262	58
GNPS/MassIVE	205.1263	100
GNPS/MassIVE	205.1264	88
GNPS/MassIVE	205.1265	113
GNPS/MassIVE	205.1266	61
GNPS/MassIVE	205.1267	31
GNPS/MassIVE	205.1268	18
GNPS/MassIVE	205.1269	19
GNPS/MassIVE	205.127	6
GNPS/MassIVE	205.1271	6
GNPS/MassIVE	205.1314	18
GNPS/MassIVE	205.1315	14
GNPS/MassIVE	205.1316	4
GNPS/MassIVE	205.1317	2
GNPS/MassIVE	205.1546	2
GNPS/MassIVE	205.1547	6
GNPS/MassIVE	205.191	4
GNPS/MassIVE	205.1949	4
GNPS/MassIVE	205.195	4
GNPS/MassIVE	206.0255	1
GNPS/MassIVE	206.0256	1
GNPS/MassIVE	206.0257	4
GNPS/MassIVE	206.0258	2
GNPS/MassIVE	206.03	5
GNPS/MassIVE	206.04	10
GNPS/MassIVE	206.0418	2
GNPS/MassIVE	206.0422	2
GNPS/MassIVE	206.0458	1
GNPS/MassIVE	206.0459	1
GNPS/MassIVE	206.0462	3
GNPS/MassIVE	206.0553	1
GNPS/MassIVE	206.0555	1
GNPS/MassIVE	206.0556	2
GNPS/MassIVE	206.0557	8
GNPS/MassIVE	206.0558	3
GNPS/MassIVE	206.0559	3
GNPS/MassIVE	206.0784	2
GNPS/MassIVE	206.1	1
GNPS/MassIVE	206.1002	2
GNPS/MassIVE	206.101	2
GNPS/MassIVE	206.1014	2
GNPS/MassIVE	206.1018	2
GNPS/MassIVE	206.102	5
GNPS/MassIVE	206.1021	2
GNPS/MassIVE	206.1022	3
GNPS/MassIVE	206.1023	3
GNPS/MassIVE	206.1024	10
GNPS/MassIVE	206.113	1
GNPS/MassIVE	206.1132	1
GNPS/MassIVE	206.1262	2
GNPS/MassIVE	206.1272	1
GNPS/MassIVE	206.1273	1
GNPS/MassIVE	206.1274	5
GNPS/MassIVE	206.1275	17
GNPS/MassIVE	206.1276	10
GNPS/MassIVE	206.1277	11
GNPS/MassIVE	206.1278	9
GNPS/MassIVE	206.1297	2
GNPS/MassIVE	206.1298	3
GNPS/MassIVE	206.1299	2
GNPS/MassIVE	206.13	3
GNPS/MassIVE	206.1511	2
GNPS/MassIVE	207.0146	2
GNPS/MassIVE	207.0611	3
GNPS/MassIVE	207.0612	19
GNPS/MassIVE	207.0613	24
GNPS/MassIVE	207.0614	7
GNPS/MassIVE	207.0615	1
GNPS/MassIVE	207.0969	2
GNPS/MassIVE	207.142	5
GNPS/MassIVE	207.1421	5
GNPS/MassIVE	208.1616	2
GNPS/MassIVE	208.1617	4
GNPS/MassIVE	208.1618	3
GNPS/MassIVE	208.1619	2
GNPS/MassIVE	208.162	1
GNPS/MassIVE	209.6343	1
GNPS/MassIVE	209.6345	1
GNPS/MassIVE	209.6509	4
GNPS/MassIVE	209.651	5
GNPS/MassIVE	209.6511	8
GNPS/MassIVE	209.6512	3
GNPS/MassIVE	209.6513	1
GNPS/MassIVE	214.1617	2
GNPS/MassIVE	214.1618	2
GNPS/MassIVE	214.1619	2
GNPS/MassIVE	214.1621	1
GNPS/MassIVE	214.1622	1
GNPS/MassIVE	215.11	2
GNPS/MassIVE	215.139	2
GNPS/MassIVE	215.1703	2
GNPS/MassIVE	216.0267	2
GNPS/MassIVE	216.0268	2
GNPS/MassIVE	216.0541	4
GNPS/MassIVE	216.0631	4
GNPS/MassIVE	216.0632	4
GNPS/MassIVE	216.0633	18
GNPS/MassIVE	216.0634	22
GNPS/MassIVE	216.0635	10
GNPS/MassIVE	216.0636	13
GNPS/MassIVE	216.0637	4
GNPS/MassIVE	216.11	6
GNPS/MassIVE	216.1226	1
GNPS/MassIVE	216.1234	2
GNPS/MassIVE	216.1424	2
GNPS/MassIVE	216.1781	4
GNPS/MassIVE	216.5898	2
GNPS/MassIVE	216.59	3
