putative explanation	delta_mass_r2	precmz	mass_defect	counts
CAR C14:2;O2	238.16	400.26782	0.0003997323591988899	1846
CAR C14:2;O3	254.15	416.26428	0.0003603479981515726	445
CAR C14:3	204.155	366.267045	0.000423188386514858	3204
CAR C14:3;O	220.14499999999998	382.25667	0.0003793261859646441	1894
CAR C14:3;O2	236.14499999999998	398.256835	0.0003640865577310181	774
CAR C14:3;O3	252.14	414.25	0.0003379601689800516	101
CAR C14:4	202.14	364.2493	0.00038435214563208866	90
CAR C14:4;O	218.13	380.24319	0.00034188646481741184	121
CAR C14:4;O2	234.13	396.23947	0.0003280844283382356	100
CAR C14:4;O3	250.12	412.23291	0.0002910975739418877	2
CAR C14:4;O4	266.12	428.22763	0.0002802247953967953	2
CAR C14:5	200.12	362.23206	0.0003312793461738438	37
CAR C14:5;O	216.12	378.22751	0.0003172693599151594	12
CAR C14:5;O2	232.11	394.22	0.0002790320125818417	2
CAR C14:6	198.11	360.21777	0.00030537083165001455	2
CAR C15:0	224.215	386.327605	0.0005565224709610332	4343
CAR C15:0;O	240.21	402.3212	0.0005219710022738249	706
CAR C15:1	222.2	384.31079	0.0005204121383112575	3873
CAR C15:1;O	238.19	400.30563	0.0004746373414733081	41
CAR C15:1;O2	254.19	416.30063	0.00045640094275139033	459
CAR C15:1;O3	270.18	432.29517	0.0004163821677674697	2
CAR C15:1;O4	286.18	448.28979	0.0004015259861260878	92
CAR C15:2	220.18	382.29559	0.0004708398545743277	3028
CAR C15:2;O	236.18	398.2905	0.0004519314420002657	304
CAR C15:2;O2	252.17	414.28558	0.00041034496059454324	315
CAR C15:2;O3	268.17	430.27979	0.0003950917611073853	4
CAR C15:3	218.17	380.2796	0.00044703949409851984	11
CAR C15:3;O	234.16	396.27029	0.00040376481416256715	103
CAR C15:3;O2	250.16	412.26944	0.00038809570750622844	77
CAR C15:3;O3	266.15	428.2641	0.00035025116511044766	15
CAR C15:4;O	232.15	394.25757	0.00038046194014741604	10
CAR C15:4;O2	248.14499999999998	410.257065	0.0003534368484680151	480
